

 ********* STATS AS OF 10/07/2024***********


 **** Highest T20i Batting Average (minm 500 runs) ****
              Player Name     Batting Average   Matches   Innings      Runs   Batting S.R.  Hundreds   Fifties     Fours     Sixes  Profile-ID        Country
      Colin de Grandhomme               15.72        41        39       503         137.81         0         3        27        30        8081    New Zealand
     Tadiwanashe Marumani               15.68        36        36       533         105.75         0         2        50        17       15877       Zimbabwe
               Lega Siaka               15.64        56        50       704         113.18         0         1        54        22        8467      Papua New
            Michael Leask               15.45        66        54       726         130.34         0         1        52        36        9383       Scotland
              Luke Jongwe               15.42        65        48       509         121.48         0         0        45        15        8457       Zimbabwe
                 Asif Ali               15.18        58        51       577         133.87         0         0        27        37        9565       Pakistan
              Karim Sadiq               15.06        35        35       527         108.88         0         1        59        10        3005    Afghanistan
          Nelson Odhiambo               14.94        65        42       538         104.26         0         2        43        13        6478          Kenya
               Mark Adair               14.48        88        63       724         125.48         0         1        51        33       10449        Ireland
        Wanindu Hasaranga               14.06        71        61       675         131.07         0         2        66        16       10926      Sri Lanka
              Shem Ngoche               14.05        92        58       548         111.84         0         0        44        18        7708          Kenya



 **** Highest T20i Batting Strike-rate (minm 500 runs) ****
              Player Name     Batting Average   Matches   Innings      Runs   Batting S.R.  Hundreds   Fifties     Fours     Sixes  Profile-ID        Country
         Suryakumar Yadav               42.43        72        69      2461         169.02         4        20       222       139        7915        Country
         Yashasvi Jaiswal               36.15        23        22       723         164.32         1         5        82        38       13940        Country
                Tim David               34.29        51        45      1166         163.08         0         6        99        63       13169        Country
              Travis Head               33.12        38        37      1093          160.5         0         5       114        53        8497        Country
              Josh Inglis               32.33        26        25       679         160.14         2         0        63        28       10637        Country
            Naseem Khushi               19.68        50        37       669         160.05         0         3        45        49       12243        Country
            Rilee Rossouw               34.86        29        27       767         159.79         2         3        69        39        2244        Country
               Finn Allen               24.28        47        47      1141         158.69         2         4        99        78       11172        Country
              Colin Munro               31.35        65        62      1724         156.44         3        11       132       107        8085        Country
          Muhammad Waseem                40.3        57        57      2136         155.12         3        16       172       132       18987        Country
            Glenn Maxwell               29.89       113       104      2600         154.76         5        11       217       134        7662        Country
               Evin Lewis                29.3        53        52      1465         151.97         2        10       108       111        8579        Country
           Thisara Perera               23.15        84        74      1204         151.64         0         3        88        64        2281        Country
           Kamau Leverock               33.68        29        29       842         148.76         1         4        67        51       13740        Country
        Ravija Sandaruwan               29.96        60        60      1708         148.52         2        10       148        96       17692        Country
             Andries Gous               33.28        20        19       599         148.27         0         5        54        32       11959        Country
             Kushal Malla               26.45        46        42       873         147.72         1         4        47        65       15400        Country
              Daren Sammy               17.26        68        52       587         147.49         0         0        45        31         253        Country
              Jos Buttler               35.87       124       114      3264          146.3         1        24       300       137        2258        Country
             Sarfaraz Ali               21.55        46        46       948         145.85         0         5        87        67       17523        Country
           Marcus Stoinis               30.24        71        58      1149         145.63         0         4        91        57        8989        Country
             Shane Watson               29.24        58        56      1462         145.33         1        10       115        83         158        Country
        Ravinderpal Singh               27.29        35        30       655         145.23         1         1        46        33       14807        Country
     Dipendra Singh Airee               35.31        71        63      1695          144.5         1         9       130        71       11155        Country
